time,promoter_35S,promoter_19S,gene_P5,gene_P4,gene_P6,gene_P1,untracked_large,gene_P3,gene_P2
10572.0,1000,1000,1000,1000,309,1000,1000,1000,1000
10573.0,1000,1000,1000,1000,309,1000,1000,1000,1000
10574.0,1000,1000,1000,1000,309,1000,1000,1000,1000
10575.0,1000,1000,1000,1000,309,1000,1000,1000,1000
10576.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10577.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10578.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10579.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10580.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10581.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10582.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10583.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10584.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10585.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10586.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10587.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10588.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10589.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10590.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10591.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10592.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10593.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10594.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10595.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10596.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10597.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10598.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10599.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10600.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10601.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10602.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10603.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10604.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10605.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10606.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10607.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10608.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10609.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10610.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10611.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10612.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10613.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10614.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10615.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10616.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10617.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10618.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10619.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10620.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10621.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10622.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10623.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10624.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10625.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10626.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10627.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10628.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10629.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10630.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10631.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10632.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10633.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10634.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10635.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10636.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10637.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10638.0,1000,1000,1000,1000,308,1000,1000,1000,1000
10639.0,1000,1000,1000,1000,307,1000,1000,1000,1000
